day,hour,latitude,longitude,month,temperature_2m,time,year
17,09:00,13.0,77.600006,05,33.1,2023-05-17T09:00,2023
17,10:00,13.0,77.600006,05,32.9,2023-05-17T10:00,2023
17,11:00,13.0,77.600006,05,32.5,2023-05-17T11:00,2023
17,12:00,13.0,77.600006,05,31.8,2023-05-17T12:00,2023
17,13:00,13.0,77.600006,05,30.1,2023-05-17T13:00,2023
17,14:00,13.0,77.600006,05,27.9,2023-05-17T14:00,2023
17,15:00,13.0,77.600006,05,26.7,2023-05-17T15:00,2023
17,16:00,13.0,77.600006,05,25.7,2023-05-17T16:00,2023
17,17:00,13.0,77.600006,05,24.9,2023-05-17T17:00,2023
17,18:00,13.0,77.600006,05,24.3,2023-05-17T18:00,2023
17,19:00,13.0,77.600006,05,24.0,2023-05-17T19:00,2023
17,20:00,13.0,77.600006,05,23.4,2023-05-17T20:00,2023
17,21:00,13.0,77.600006,05,23.0,2023-05-17T21:00,2023
17,22:00,13.0,77.600006,05,22.6,2023-05-17T22:00,2023
17,23:00,13.0,77.600006,05,22.2,2023-05-17T23:00,2023
18,00:00,13.0,77.600006,05,21.7,2023-05-18T00:00,2023
18,01:00,13.0,77.600006,05,21.7,2023-05-18T01:00,2023
18,02:00,13.0,77.600006,05,24.3,2023-05-18T02:00,2023
18,03:00,13.0,77.600006,05,26.4,2023-05-18T03:00,2023
18,04:00,13.0,77.600006,05,28.5,2023-05-18T04:00,2023
18,05:00,13.0,77.600006,05,30.3,2023-05-18T05:00,2023
18,06:00,13.0,77.600006,05,31.2,2023-05-18T06:00,2023
18,07:00,13.0,77.600006,05,32.3,2023-05-18T07:00,2023
18,08:00,13.0,77.600006,05,32.7,2023-05-18T08:00,2023
18,09:00,13.0,77.600006,05,32.9,2023-05-18T09:00,2023
18,10:00,13.0,77.600006,05,32.8,2023-05-18T10:00,2023
18,11:00,13.0,77.600006,05,32.6,2023-05-18T11:00,2023
18,12:00,13.0,77.600006,05,31.7,2023-05-18T12:00,2023
18,13:00,13.0,77.600006,05,30.0,2023-05-18T13:00,2023
18,14:00,13.0,77.600006,05,28.1,2023-05-18T14:00,2023
18,15:00,13.0,77.600006,05,26.7,2023-05-18T15:00,2023
18,16:00,13.0,77.600006,05,25.6,2023-05-18T16:00,2023
18,17:00,13.0,77.600006,05,24.8,2023-05-18T17:00,2023
18,18:00,13.0,77.600006,05,23.8,2023-05-18T18:00,2023
18,19:00,13.0,77.600006,05,23.6,2023-05-18T19:00,2023
18,20:00,13.0,77.600006,05,23.2,2023-05-18T20:00,2023
18,21:00,13.0,77.600006,05,22.7,2023-05-18T21:00,2023
18,22:00,13.0,77.600006,05,22.4,2023-05-18T22:00,2023
18,23:00,13.0,77.600006,05,22.2,2023-05-18T23:00,2023
19,00:00,13.0,77.600006,05,21.8,2023-05-19T00:00,2023
19,01:00,13.0,77.600006,05,21.8,2023-05-19T01:00,2023
19,02:00,13.0,77.600006,05,24.2,2023-05-19T02:00,2023
19,03:00,13.0,77.600006,05,26.6,2023-05-19T03:00,2023
19,04:00,13.0,77.600006,05,28.8,2023-05-19T04:00,2023
19,05:00,13.0,77.600006,05,30.6,2023-05-19T05:00,2023
19,06:00,13.0,77.600006,05,31.8,2023-05-19T06:00,2023
19,07:00,13.0,77.600006,05,32.4,2023-05-19T07:00,2023
19,08:00,13.0,77.600006,05,32.4,2023-05-19T08:00,2023
19,09:00,13.0,77.600006,05,32.7,2023-05-19T09:00,2023
19,10:00,13.0,77.600006,05,32.7,2023-05-19T10:00,2023
19,11:00,13.0,77.600006,05,32.2,2023-05-19T11:00,2023
19,12:00,13.0,77.600006,05,31.4,2023-05-19T12:00,2023
19,13:00,13.0,77.600006,05,30.4,2023-05-19T13:00,2023
19,14:00,13.0,77.600006,05,28.7,2023-05-19T14:00,2023
19,15:00,13.0,77.600006,05,27.6,2023-05-19T15:00,2023
19,16:00,13.0,77.600006,05,26.7,2023-05-19T16:00,2023
19,17:00,13.0,77.600006,05,25.9,2023-05-19T17:00,2023
19,18:00,13.0,77.600006,05,24.4,2023-05-19T18:00,2023
19,19:00,13.0,77.600006,05,23.7,2023-05-19T19:00,2023
19,20:00,13.0,77.600006,05,22.9,2023-05-19T20:00,2023
19,21:00,13.0,77.600006,05,22.4,2023-05-19T21:00,2023
19,22:00,13.0,77.600006,05,22.2,2023-05-19T22:00,2023
19,23:00,13.0,77.600006,05,21.8,2023-05-19T23:00,2023
20,00:00,13.0,77.600006,05,21.6,2023-05-20T00:00,2023
20,01:00,13.0,77.600006,05,21.9,2023-05-20T01:00,2023
20,02:00,13.0,77.600006,05,23.3,2023-05-20T02:00,2023
20,03:00,13.0,77.600006,05,25.3,2023-05-20T03:00,2023
20,04:00,13.0,77.600006,05,27.3,2023-05-20T04:00,2023
20,05:00,13.0,77.600006,05,29.1,2023-05-20T05:00,2023
20,06:00,13.0,77.600006,05,30.7,2023-05-20T06:00,2023
20,07:00,13.0,77.600006,05,31.5,2023-05-20T07:00,2023
20,08:00,13.0,77.600006,05,31.8,2023-05-20T08:00,2023
20,09:00,13.0,77.600006,05,32.2,2023-05-20T09:00,2023
20,10:00,13.0,77.600006,05,32.1,2023-05-20T10:00,2023
20,11:00,13.0,77.600006,05,31.3,2023-05-20T11:00,2023
20,12:00,13.0,77.600006,05,30.6,2023-05-20T12:00,2023
20,13:00,13.0,77.600006,05,28.7,2023-05-20T13:00,2023
20,14:00,13.0,77.600006,05,26.3,2023-05-20T14:00,2023
20,15:00,13.0,77.600006,05,25.7,2023-05-20T15:00,2023
20,16:00,13.0,77.600006,05,24.8,2023-05-20T16:00,2023
20,17:00,13.0,77.600006,05,23.7,2023-05-20T17:00,2023
20,18:00,13.0,77.600006,05,22.9,2023-05-20T18:00,2023
20,19:00,13.0,77.600006,05,22.5,2023-05-20T19:00,2023
20,20:00,13.0,77.600006,05,22.4,2023-05-20T20:00,2023
20,21:00,13.0,77.600006,05,22.1,2023-05-20T21:00,2023
20,22:00,13.0,77.600006,05,22.0,2023-05-20T22:00,2023
20,23:00,13.0,77.600006,05,21.7,2023-05-20T23:00,2023
21,00:00,13.0,77.600006,05,21.5,2023-05-21T00:00,2023
21,01:00,13.0,77.600006,05,21.6,2023-05-21T01:00,2023
21,02:00,13.0,77.600006,05,23.4,2023-05-21T02:00,2023
21,03:00,13.0,77.600006,05,25.3,2023-05-21T03:00,2023
21,04:00,13.0,77.600006,05,27.4,2023-05-21T04:00,2023
21,05:00,13.0,77.600006,05,29.1,2023-05-21T05:00,2023
21,06:00,13.0,77.600006,05,30.4,2023-05-21T06:00,2023
21,07:00,13.0,77.600006,05,31.1,2023-05-21T07:00,2023
21,08:00,13.0,77.600006,05,31.6,2023-05-21T08:00,2023
21,09:00,13.0,77.600006,05,30.9,2023-05-21T09:00,2023
21,10:00,13.0,77.600006,05,29.1,2023-05-21T10:00,2023
21,11:00,13.0,77.600006,05,26.7,2023-05-21T11:00,2023
21,12:00,13.0,77.600006,05,25.5,2023-05-21T12:00,2023
21,13:00,13.0,77.600006,05,24.0,2023-05-21T13:00,2023
21,14:00,13.0,77.600006,05,23.5,2023-05-21T14:00,2023
21,15:00,13.0,77.600006,05,22.6,2023-05-21T15:00,2023
21,16:00,13.0,77.600006,05,22.2,2023-05-21T16:00,2023
21,17:00,13.0,77.600006,05,22.0,2023-05-21T17:00,2023
21,18:00,13.0,77.600006,05,21.8,2023-05-21T18:00,2023
21,19:00,13.0,77.600006,05,21.8,2023-05-21T19:00,2023
21,20:00,13.0,77.600006,05,21.6,2023-05-21T20:00,2023
21,21:00,13.0,77.600006,05,21.4,2023-05-21T21:00,2023
21,22:00,13.0,77.600006,05,21.3,2023-05-21T22:00,2023
21,23:00,13.0,77.600006,05,21.1,2023-05-21T23:00,2023
22,00:00,13.0,77.600006,05,21.0,2023-05-22T00:00,2023
22,01:00,13.0,77.600006,05,21.2,2023-05-22T01:00,2023
22,02:00,13.0,77.600006,05,22.6,2023-05-22T02:00,2023
22,03:00,13.0,77.600006,05,24.5,2023-05-22T03:00,2023
22,04:00,13.0,77.600006,05,26.5,2023-05-22T04:00,2023
22,05:00,13.0,77.600006,05,28.4,2023-05-22T05:00,2023
22,06:00,13.0,77.600006,05,29.7,2023-05-22T06:00,2023
22,07:00,13.0,77.600006,05,30.1,2023-05-22T07:00,2023
22,08:00,13.0,77.600006,05,30.5,2023-05-22T08:00,2023
22,09:00,13.0,77.600006,05,30.8,2023-05-22T09:00,2023
22,10:00,13.0,77.600006,05,29.7,2023-05-22T10:00,2023
22,11:00,13.0,77.600006,05,28.3,2023-05-22T11:00,2023
